Text,Intent
I want to know details about a ITEM?,INFORMATION
I want to know details about these ITEMS?,INFORMATION
I want to know location of the ITEM?,LOCATION
I want to know the storage place of the ITEM?,LOCATION
I want to know the how much quantity we have for an ITEM?,QUANTITY
I want to know How much quantity we have used for an ITEM?,QUANTITY
I want to know how much quantity was received for an ITEM?,QUANTITY
I want to know the last used date for an ITEM?,DATE
I want to know the received quantity date of an ITEM?,DATE
I want to know price of an ITEM?,COST
I want to know how much quantity is available for this ITEM with the vendor?,QUANTITY
I want to know how much quantity is available for this ITEM with the particular vendor?,QUANTITY
I want to know How many Orders are sold for an ITEM?,ORDER
I want to know Orders received date for an ITEM or multiple items?,ORDER
I want to know Orders delivery date for an ITEM or multiple items?,ORDER
I want to know the cost of the held Items from the long time?,COST
I want to know how much quantity is stored at a particular location?,QUANTITY
I want to know maximum & miminum stored quantity for an item at a particular location?,QUANTITY
I want to know How many POs created for a particular item or multiple items?,PO
I want to know when was the last PO created for an ITEM  or multiple items?,PO
I want to know how many quantities of an ITEM or multiple items were sold by the vendor?,QUANTITY
I want to know the SO date for a particular PO?,SO
I want to know the vendor for a particluar SO?,SO
I want to know how many ITEMS were part of a particular SO?,SO
I want to know how many ITEMS were part of a particular PO?,PO
I need more information on an ITEM.,INFORMATION
I need more information on these ITEMS.,INFORMATION
"Where is the ITEM located, please?",LOCATION
How can I find the ITEM's location?,LOCATION
What is the location of the ITEM?,LOCATION
I need to know where the item is kept in storage.,LOCATION
I'd like to know where the ITEM is kept.,LOCATION
"Where is the item kept in storage, please?",LOCATION
I'm curious about the quantity we have available for each item.,QUANTITY
How many of a particular item do we currently have in stock?,QUANTITY
"How much of a particular item do we currently have in stock, please?",QUANTITY
I'd want to know how many of an ITEM we have in stock.,QUANTITY
I'd like to know. What quantity did we use for an ITEM?,QUANTITY
I'd like to know. How much of a particular quantity did we use for an item?,QUANTITY
How much of an ITEM have we used?,QUANTITY
"How many units of a particular item were received, please?",QUANTITY
I'm interested in finding out how many of an item were received.,QUANTITY
"How many units of a given item were received, please?",QUANTITY
I'd like to know how many of an ITEM were received.,QUANTITY
